"BehaviorSpace results (NetLogo 6.3.0)"
"Resin dummy.nlogo"
"experiment"
"07/11/2023 12:05:31:743 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","degree-of-cognition","rb","#levels","seed","#subgroups","average-node-degree","world-over-neighbors","rewiring-proportion","degree-of-homophily","update-appearance?","hide-people?","color-communities-louvain?","static-seed?","write-attitudes-to-file?","#items","population-size","[step]","mean [mean-individual-internal-consistency] of people"
"244","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.4834254970854056"
"232","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.2700662992398443"
"245","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.3364498296752875"
"246","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.431422392183189"
"247","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.32054551270268555"
"248","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.43957583076972717"
"249","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.46234519750541775"
"250","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.47944418149582996"
"233","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.29286010802524015"
"234","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.32287566677800267"
"251","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.35040135624657665"
"252","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.38116801436357883"
"235","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.3065385582241254"
"254","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.2954286283997054"
